<html>
<head>
<title>Roomalaisille 9	</title>
</head>
<body><div class="chaptertitle">Roomalaisille 9	</div>
	
<div class="theverse"><div class="versenum">1.</div> Mina sanon totuuden Kristuksessa ja en valehtele, (niinkuin minun omatuntoni minun kanssani Pyhassa Hengessa todistaa,)	</div>

<div class="theverse"><div class="versenum">2.</div> Etta minulla on suuri murhe ja alinomainen kipu sydamessani.	</div>

<div class="theverse"><div class="versenum">3.</div> Mina olen pyytanyt kirottuna olla Kristukselta minun veljieni tahden, jotka lihan puolesta minun lankoni ovat,	</div>

<div class="theverse"><div class="versenum">4.</div> Jotka ovat Israelilaiset, joiden on lasten oikeus ja kunnia, ja liitot ja laki, ja jumalanpalvelus ja lupaukset,	</div>

<div class="theverse"><div class="versenum">5.</div> Joiden myos isat ovat, joista Kristus lihan puolesta syntynyt on, joka on Jumala ylitse kaikkein ylistetty ijankaikkisesti, amen!	</div>

<div class="theverse"><div class="versenum">6.</div> Mutta ei niin, etta Jumalan sana on hukkunut; silla ei ne ole kaikki Israelilaiset, jotka Israelista ovat.	</div>

<div class="theverse"><div class="versenum">7.</div> Ei myos ne ole kaikki lapset, jotka Abrahamin siemen ovat; vaan Isakissa pitaa sinulle siemen kutsuttaman.	</div>

<div class="theverse"><div class="versenum">8.</div> Se on: ei ne ole Jumalan lapset, jotka lihan puolesta lapset ovat; mutta ne, jotka lupauksen lapset ovat, ne siemeneksi luetaan.	</div>

<div class="theverse"><div class="versenum">9.</div> Silla tama on lupauksen sana: talla ajalla mina tulen ja Saaralla pitaa poika oleman.	</div>

<div class="theverse"><div class="versenum">10.</div> Mutta ei se ainoastaan, mutta myos Rebekka siitti yhdesta Isaakista meidan isastamme.	</div>

<div class="theverse"><div class="versenum">11.</div> Silla ennen kuin lapset syntyivatkaan ja kuin ei he viela hyvaa eika pahaa tehneet olleet, etta Jumalan aivoitus pitais valitsemisen jalkeen seisovainen oleman, ei toiden tahden, vaan kutsujan armosta,	</div>

<div class="theverse"><div class="versenum">12.</div> Sanottiin hanelle: suuremman pitaa vahempaa palveleman.	</div>

<div class="theverse"><div class="versenum">13.</div> Niinkuin kirjoitettu on: Jakobia mina rakastin, mutta Esauta vihasin.	</div>

<div class="theverse"><div class="versenum">14.</div> Mitas me siis sanomme? Onko Jumalan tykona vaaryytta? Pois se!	</div>

<div class="theverse"><div class="versenum">15.</div> Silla han sanoo Mosekselle: jota mina armahdan, sita mina tahdon armahtaa, ja tahdon olla laupias, jolle mina laupias olen.	</div>

<div class="theverse"><div class="versenum">16.</div> Niin ei se nyt ole sen, joka tahtoo, eika sen, joka juoksee, vaan sen, joka armahtaa, nimittain Jumalan.	</div>

<div class="theverse"><div class="versenum">17.</div> Silla Raamattu sanoo Pharaolle: juuri sentahden olen mina sinun herattanyt, osoittaakseni minun voimani sinussa, etta minun nimeni kaikessa maassa julistettaisiin.	</div>

<div class="theverse"><div class="versenum">18.</div> Niin han siis armahtaa, keta han tahtoo, ja paaduttaa, kenenka han tahtoo.	</div>

<div class="theverse"><div class="versenum">19.</div> Niin sina sanot minulle: mita han siis nuhtelee? silla kuka taitaa hanen tahtoansa vastaan olla?	</div>

<div class="theverse"><div class="versenum">20.</div> Ja tosin, oi ihminen, kuka sina olet, joka Jumalaa vastaan riitelet? Sanooko tyo tekiallensa: miksis minut tainkaltaiseksi tehnyt olet?	</div>

<div class="theverse"><div class="versenum">21.</div> Eli eiko savenvalajalla ole saven paalle valtaa, yhdesta kappaleesta tehda yhta astiaa kunnialliseksi ja toista huonoksi?	</div>

<div class="theverse"><div class="versenum">22.</div> Sentahden, jos Jumala tahtoo vihansa osoittaa ja voimansa ilmoittaa, on han suurella karsivallisyydella karsinyt vihansa astioita, jotka ovat kadotukseen valmistetut.	</div>

<div class="theverse"><div class="versenum">23.</div> Ja etta han tiettavaksi tekis kunniansa rikkauden laupiutensa astioille, jotka han kunniaan on valmistanut,	</div>

<div class="theverse"><div class="versenum">24.</div> Jotka han myos kutsunut on, nimittain meita, ei ainoasti Juudalaisista, vaan myos pakanoista,	</div>

<div class="theverse"><div class="versenum">25.</div> Niinkuin han myos Hosean kautta sanoo: mina tahdon kutsua sen minun kansakseni, joka ei ollut minun kansani, ja minun rakkaakseni, joka ei minun rakkaani ollut.	</div>

<div class="theverse"><div class="versenum">26.</div> Ja pitaa tapahtuman, etta siina paikassa, missa heille sanottiin: ette ole minun kansani, siella pitaa heita elavan Jumalan lapsiksi kutsuttaman.	</div>

<div class="theverse"><div class="versenum">27.</div> Mutta Jesaias huutaa Israelin edesta: jos Israelin lasten luku olis niinkuin santa meressa, niin kuitenkin tahteet autuaaksi tulevat.	</div>

<div class="theverse"><div class="versenum">28.</div> Silla kuluttamus ja lyhentamys pitaa tapahtuman vanhurskaudeksi, etta Herra tekee havityksen maan paalla,	</div>

<div class="theverse"><div class="versenum">29.</div> Ja niinkuin Jesaias ennen sanoi: ellei Herra Zebaot olisi meille siementa jattanyt, niin me olisimme olleet kuin Sodoma ja senkaltaiset kuin Gomorra.	</div>

<div class="theverse"><div class="versenum">30.</div> Mitas me siis sanomme? (Me sanomme:) pakanat, jotka ei ole vanhurskautta etsineet, ovat saaneet vanhurskauden, mutta sen vanhurskauden, joka uskosta on:	</div>

<div class="theverse"><div class="versenum">31.</div> Mutta Israel, joka vanhurskauden lakia on etsinyt, ei ole vanhurskauden lakia saanut.	</div>

<div class="theverse"><div class="versenum">32.</div> Minkatahden? Ettei he sita uskosta, mutta niinkuin lain toista etsivat. Silla he ovat loukanneet itsensa loukkauskiveen.	</div>

<div class="theverse"><div class="versenum">33.</div> Niinkuin kirjoitettu on: katso, mina panen Zioniin loukkauskiven ja pahennuksen kallion, ja jokainen, joka hanen paallensa uskoo, ei pida hapiaan tuleman.	</div>
</body>
</html>
